Program_ID,Model,KLEE_Test_Cases,KLEE_TimeToCrash_Sec,Random_TimeToCrash_Sec,KLEE_Edge_Coverage_Pct,Random_Edge_Coverage_Pct,KLEE_Paths_Discovered,Random_Paths_Discovered,Coverage_Delta_Pct
prog_000022,copilot,10,5.92,29.42,60.0,44.58,30,16,15.42
prog_000023,copilot,8,6.82,29.12,53.0,38.28,25,13,14.72
prog_000023,copilot,3,10.82,30.12,53.0,38.28,11,6,14.72
prog_000024,copilot,6,8.41,27.51,60.0,43.29,18,9,16.71
prog_000025,copilot,10,5.79,29.29,60.0,44.71,30,16,15.29
prog_000026,copilot,10,4.9,28.4,60.0,45.6,30,16,14.4
prog_000027,copilot,10,5.51,29.01,49.0,33.99,30,16,15.01
prog_000028,copilot,6,8.94,30.04,60.0,40.76,19,10,19.24
prog_000029,copilot,8,8.04,28.34,60.0,42.06,25,13,17.94
prog_000029,copilot,6,9.64,28.74,60.0,42.06,19,10,17.94
prog_000030,copilot,1,12.78,30.88,47.0,27.92,4,5,19.08
prog_000031,copilot,10,6.17,29.67,60.0,44.33,30,16,15.67
prog_000032,copilot,10,6.37,27.87,60.0,42.13,30,16,17.87
prog_000033,copilot,8,7.19,27.49,60.0,42.91,25,13,17.09
prog_000033,copilot,10,5.59,27.09,60.0,42.91,30,16,17.09
prog_000034,copilot,8,7.7,28.0,60.0,46.4,25,13,13.6
prog_000034,copilot,10,6.1,27.6,60.0,46.4,30,16,13.6
prog_000035,copilot,8,6.38,28.68,47.0,28.72,25,13,18.28
prog_000035,copilot,3,10.38,29.68,47.0,28.72,10,5,18.28
prog_000036,copilot,8,7.71,28.01,60.0,46.39,25,13,13.61
prog_000036,copilot,10,6.11,27.61,60.0,46.39,30,16,13.61
prog_000037,copilot,8,7.29,29.59,47.0,31.81,25,13,15.19
prog_000037,copilot,10,5.69,29.19,47.0,31.81,30,16,15.19
prog_000038,copilot,8,6.71,27.01,60.0,47.39,25,13,12.61
prog_000038,copilot,10,5.11,26.61,60.0,47.39,30,16,12.61
prog_000039,copilot,8,6.22,28.52,60.0,41.88,25,13,18.12
prog_000039,copilot,8,6.22,28.52,60.0,41.88,25,13,18.12
prog_000040,copilot,8,7.43,27.73,60.0,42.67,25,13,17.33
prog_000040,copilot,5,9.83,28.33,60.0,42.67,17,9,17.33
prog_000041,copilot,8,6.75,29.05,60.0,45.35,25,13,14.65
prog_000041,copilot,8,6.75,29.05,60.0,45.35,26,14,14.65
prog_000042,copilot,8,7.97,30.27,49.0,33.13,25,13,15.87
prog_000042,copilot,5,10.37,30.87,49.0,33.13,17,9,15.87
prog_000043,copilot,8,8.02,30.32,49.0,33.08,25,13,15.92
prog_000043,copilot,4,11.22,31.12,49.0,33.08,13,7,15.92
prog_000044,copilot,8,7.62,29.92,51.0,35.48,25,13,15.52
prog_000044,copilot,6,9.22,30.32,51.0,35.48,20,11,15.52
prog_000045,copilot,8,7.57,29.87,53.0,33.53,25,13,19.47
prog_000045,copilot,6,9.17,30.27,53.0,33.53,19,10,19.47
prog_000046,copilot,8,8.04,30.34,60.0,40.06,25,13,19.94
prog_000046,copilot,8,8.04,30.34,60.0,40.06,26,14,19.94
prog_000047,copilot,8,7.58,27.88,49.0,31.52,25,13,17.48
prog_000047,copilot,4,10.78,28.68,49.0,31.52,13,7,17.48
prog_000048,copilot,8,7.21,29.51,60.0,40.89,25,13,19.11
prog_000048,copilot,10,5.61,29.11,60.0,40.89,30,16,19.11
prog_000049,copilot,8,6.79,27.09,60.0,43.31,25,13,16.69
prog_000049,copilot,10,5.19,26.69,60.0,43.31,30,16,16.69
prog_000050,copilot,8,7.19,29.49,60.0,40.91,25,13,19.09
prog_000050,copilot,10,5.59,29.09,60.0,40.91,30,16,19.09
prog_000051,copilot,8,7.86,30.16,57.0,37.24,25,13,19.76
prog_000051,copilot,7,8.66,30.36,57.0,37.24,21,11,19.76
prog_000052,copilot,8,6.89,27.19,51.0,34.21,25,13,16.79
prog_000052,copilot,8,6.89,27.19,51.0,34.21,24,13,16.79
prog_000053,copilot,8,6.44,26.74,60.0,47.66,25,13,12.34
prog_000053,copilot,10,4.84,26.34,60.0,47.66,30,16,12.34
prog_000054,copilot,8,7.13,29.43,49.0,29.97,25,13,19.03
prog_000054,copilot,10,5.53,29.03,49.0,29.97,30,16,19.03
